date,temperature_2m,precipitation_probability,precipitation,latitude,longitude
2024-06-19 00:00:00+00:00,27.2215,77.0,0.0,1.375,103.875
2024-06-19 01:00:00+00:00,28.2215,79.0,0.0,1.375,103.875
2024-06-19 02:00:00+00:00,28.921501,82.0,0.0,1.375,103.875
2024-06-19 03:00:00+00:00,29.7215,84.0,0.0,1.375,103.875
2024-06-19 04:00:00+00:00,30.421501,87.0,0.0,1.375,103.875
2024-06-19 05:00:00+00:00,30.271502,91.0,0.8,1.375,103.875
2024-06-19 06:00:00+00:00,29.921501,94.0,0.7,1.375,103.875
2024-06-19 07:00:00+00:00,29.9715,88.0,0.6,1.375,103.875
2024-06-19 08:00:00+00:00,29.521502,83.0,0.8,1.375,103.875
2024-06-19 09:00:00+00:00,29.3715,77.0,0.5,1.375,103.875
2024-06-19 10:00:00+00:00,29.2215,62.0,0.0,1.375,103.875
2024-06-19 11:00:00+00:00,28.8715,47.0,0.0,1.375,103.875
2024-06-19 12:00:00+00:00,28.3715,32.0,0.0,1.375,103.875
2024-06-19 13:00:00+00:00,27.9715,30.0,0.0,1.375,103.875
2024-06-19 14:00:00+00:00,27.7215,28.0,0.0,1.375,103.875
2024-06-19 15:00:00+00:00,27.521502,26.0,0.0,1.375,103.875
2024-06-19 16:00:00+00:00,27.3215,23.0,0.0,1.375,103.875
2024-06-19 17:00:00+00:00,27.171501,19.0,0.0,1.375,103.875
2024-06-19 18:00:00+00:00,26.9715,16.0,0.0,1.375,103.875
2024-06-19 19:00:00+00:00,26.8215,29.0,0.0,1.375,103.875
2024-06-19 20:00:00+00:00,26.771502,42.0,0.0,1.375,103.875
2024-06-19 21:00:00+00:00,26.7215,55.0,0.0,1.375,103.875
2024-06-19 22:00:00+00:00,26.771502,66.0,0.0,1.375,103.875
2024-06-19 23:00:00+00:00,26.8715,76.0,0.0,1.375,103.875
2024-06-20 00:00:00+00:00,27.3715,87.0,0.2,1.375,103.875
2024-06-20 01:00:00+00:00,28.271502,87.0,0.1,1.375,103.875
2024-06-20 02:00:00+00:00,29.021502,87.0,0.1,1.375,103.875
2024-06-20 03:00:00+00:00,29.771502,87.0,0.1,1.375,103.875
2024-06-20 04:00:00+00:00,30.4715,78.0,0.0,1.375,103.875
2024-06-20 05:00:00+00:00,30.6215,70.0,0.2,1.375,103.875
2024-06-20 06:00:00+00:00,30.271502,61.0,1.7,1.375,103.875
2024-06-20 07:00:00+00:00,30.0715,52.0,1.5,1.375,103.875
2024-06-20 08:00:00+00:00,29.8715,44.0,1.4,1.375,103.875
